d,algorithm,n_seeds,ndcg_mean,ndcg_std,ndcg_ci95_low,ndcg_ci95_high,gh_mean,gh_std,gh_ci95_low,gh_ci95_high
19,knni mmr,20,0.78655,0.0006048053188293119,0.786284932382013,0.7868150676179869,0.16405,0.000223606797749976,0.16395200000000001,0.164148
19,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
19,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
19,knnu mmr,20,0.7213999999999999,0.0009947229183096787,0.7209640434594329,0.721835956540567,0.16194999999999998,0.00022360679774997857,0.161852,0.16204799999999997
19,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
19,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
19,svd mmr,20,0.595,0.0,0.595,0.595,0.22400000000000003,0.0,0.22400000000000003,0.22400000000000003
19,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
20,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
20,knni mmr,20,0.7902500000000001,0.0013327849749579558,0.7896658812305344,0.7908341187694659,0.16405,0.00022360679774997868,0.16395200000000001,0.164148
20,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
20,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
20,knnu mmr,20,0.6969,0.0006407232755171852,0.6966191906434307,0.6971808093565692,0.1628,0.00041039134083406537,0.16262013806464548,0.16297986193535452
20,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
20,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
20,svd mmr,20,0.595,0.0,0.595,0.595,0.22400000000000003,0.0,0.22400000000000003,0.22400000000000003
20,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
21,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
21,knni mmr,20,0.7822500000000001,0.004876096367943726,0.780112956543062,0.7843870434569382,0.16305,0.00022360679774997868,0.162952,0.163148
21,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
21,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
21,knnu mmr,20,0.7057,0.0011285761872936553,0.7052053796777751,0.7061946203222249,0.16025,0.00044426165831932163,0.16005529374351143,0.16044470625648857
21,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
21,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
21,svd mmr,20,0.59495,0.0002236067977499786,0.5948519999999999,0.595048,0.22400000000000003,0.0,0.22400000000000003,0.22400000000000003
21,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
22,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
22,knni mmr,20,0.7575000000000001,0.0038865490036656906,0.7557966447970643,0.7592033552029358,0.1632,0.00041039134083406184,0.1630201380646455,0.16337986193535453
22,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
22,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
22,knnu mmr,20,0.69175,0.005937171043518958,0.6891479200627191,0.6943520799372809,0.162,0.00045883146774112647,0.1617989082429913,0.1622010917570087
22,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
22,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
22,svd mmr,20,0.592,0.0,0.592,0.592,0.2233,0.0004701623459816257,0.22309394226664916,0.22350605773335083
22,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
23,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
23,knni mmr,20,0.7659,0.00044721359549999357,0.765704,0.766096,0.16385,0.00036634754853252533,0.1636894411077058,0.16401055889229418
23,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
23,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
